time,xi_x,xi_y,xi_z,dx_x,dx_y,dx_z,x_x,x_y,x_z,d_sigma_x,d_sigma_y,d_sigma_z,sigma_x,sigma_y,sigma_z,delta_x,delta_y,delta_z
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.671253859356543,-16.671253859356543,-16.671253859356543,0.8332874614064345,0.8332874614064345,0.8332874614064345,0.0,0.0,0.0
0.01,-0.009689929294359386,0.020278515007708,0.13363826988658453,1.76738598172728,4.52608326282252,17.585374121781026,0.017673859817272798,0.0452608326282252,0.17585374121781025,-13.615106741514767,-13.604518155801417,-13.491158400922542,0.6971363939912868,0.6972422798484204,0.6983758773972091,-0.9437860042568156,1.0706964253254148,2.6367098058183904
0.02,0.00016587955251835818,0.042353015577146956,0.051405785339421195,7.284636724062667,9.570840381866404,11.240862314675882,0.09052022705789947,0.14096923644688925,0.2882623643645691,-11.203995833708332,-11.163671621268799,-11.174564653226753,0.5850964356542034,0.5856055636357324,0.5866302308649416,0.6989797166300933,1.2168715109516386,1.3393818092283696
0.03,0.003169882660774448,0.07568943512467671,0.03431568173580957,11.527076056760755,15.456129518863884,10.498318870790861,0.20579098762550702,0.2955305316355281,0.3932455530724777,-9.241070756991759,-9.177424344850863,-9.236656445318802,0.49268572808428585,0.49383132018722375,0.49426366641175357,0.6206179275929162,1.5634447924981159,1.0010347087267344
0.04,0.010845781058229198,0.11210781119102042,0.02347766871218493,15.51763086332897,21.57901276475202,10.174282890476087,0.36096729625879675,0.5113206592830484,0.4949883819772386,-7.620992648871223,-7.5397908238745295,-7.635990865138171,0.4164758015955736,0.41843341194847844,0.41790375776037186,0.6167359955978068,1.9912960724792232,0.7711823115539747
0.05,0.018938984718004592,0.15198506829628688,0.018450391235038555,18.907480366060906,28.244200463466292,10.627852966513558,0.5500420999194058,0.7937626639177113,0.6012669116423742,-6.268367013260041,-6.1701779970679285,-6.294283727435108,0.3537921314629732,0.35673163197779917,0.3549609204860208,0.6374965650489273,2.4778649282207694,0.6329701655804199
0.06,0.02026611488422303,0.18416159512124353,0.012450444593480103,21.192883742780012,34.168480738269864,11.373591335078078,0.7619709373472059,1.13544747130041,0.715002824993155,-5.138530213788851,-5.028141002802733,-5.16762807133253,0.3024068293250847,0.30645022194977184,0.3032846397726955,0.5910489635804765,2.8492043919548258,0.49795097920349035
0.07,0.011856636756372607,0.19857271398169396,0.0031800435387762116,22.237687470730634,38.104101389511264,12.132329742417598,0.9843478120545123,1.5164884851955225,0.8363261224173311,-4.201926837871727,-4.090197263801988,-4.226890848653522,0.26038756094636745,0.26554824931175197,0.2610157312861603,0.4383712442016912,2.9850358011902793,0.33892099130740105
0.08,-0.005745983259585863,0.19262342443506508,-0.01119112377851772,21.611008868844692,39.62214094936427,11.986014754084884,1.2004579007429592,1.9127098946891652,0.9561862699581799,-3.4244850042992754,-3.334106698105255,-3.43078689216073,0.22614271090337468,0.23220718233069942,0.22670786236455298,-0.3252302772137928,2.8679251745000465,-0.3891297597655819
0.09,-0.017152745718289397,0.18241096492722675,-0.01762105700083405,21.56011591297005,40.34995883598151,12.790975937850487,1.4160590598726597,2.31620948304898,1.0840960293366848,-2.7740421814873724,-2.721546174600089,-2.7840697007469712,0.19840228908850094,0.20499172058469853,0.19886716535708326,-0.4254561017645194,2.701724470455516,-0.4316961294825238
