time,xi_x,xi_y,xi_z,dx_x,dx_y,dx_z,x_x,x_y,x_z,d_sigma_x,d_sigma_y,d_sigma_z,sigma_x,sigma_y,sigma_z,delta_x,delta_y,delta_z
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.671253859356543,-16.671253859356543,-16.671253859356543,0.8332874614064345,0.8332874614064345,0.8332874614064345,0.0,0.0,0.0
0.01,0.03108778491205286,0.02233587562220617,0.2180744469001666,4.897821662352687,5.917183999583104,27.655632586422925,0.04897821662352687,0.05917183999583104,0.27655632586422924,-13.593708885897072,-13.60246079518692,-13.40672222390896,0.6973503725474638,0.6972628534545653,0.6992202391673449,1.2061854376178691,1.0960458234641774,3.7554157422493315
0.02,0.06269893924553849,0.04960782727621014,0.10005533283925444,10.301877491058619,12.704956561371558,18.567013321434114,0.15199699153411306,0.18622140560954661,0.4622264590785704,-11.145227474495366,-11.156778778357282,-11.14077371014155,0.5858980978025101,0.5856950656709925,0.5878125020659294,1.4932917759113264,1.3139435088041365,2.0241943202311283
0.03,0.10344295358707983,0.0928726485286914,0.07199193589990316,16.30171048621178,20.985340409782765,17.05157453138245,0.31501409639623085,0.3960748097073743,0.6327422043923949,-9.154769193675993,-9.161800994145418,-9.219585905134533,0.4943504058657502,0.4940770557295383,0.4956166430145841,1.9593748437190197,1.8079029699339326,1.5135541318257386
0.04,0.14510832546047187,0.14666304127722496,0.05124592248961202,22.008125933534924,30.559054741249728,15.426359419522777,0.5350953557315801,0.7016653571198717,0.7870057985876227,-7.515878865647932,-7.509538202887912,-7.631908863878383,0.4191916172092709,0.4189816737006592,0.41929755437580024,2.4584766347526807,2.4798237355689343,1.1344555939565912
0.05,0.19297493066226146,0.22303708835468683,0.040655548085766324,28.042078530900305,43.06724502655045,14.333698323380249,0.8155161410405831,1.1323378073853763,0.9303427818214252,-6.142683152737997,-6.1088845946141195,-6.296887827990479,0.3577647856818909,0.35789282775451803,0.35632867609589547,3.0260957951411864,3.4015439218484027,0.9164919503405167
0.06,0.24214618674230626,0.3278549327671014,0.04382346496801559,33.07040064342469,59.07372994303569,16.201150665490452,1.1462201474748301,1.7230751068157333,1.0923542884763298,-4.988947932817128,-4.905567557707402,-5.161147930728802,0.3078753063537196,0.308837152177444,0.3047171967886074,3.5672660410382884,4.484933365344822,0.8954790235985782
0.07,0.24973009593852247,0.3886461247274071,0.04815158008155329,33.448509937722214,70.37372292629213,20.051624725639098,1.4807052468520523,2.4268123360786547,1.2928705357327208,-4.06544577492072,-3.944345218168546,-4.208490322259646,0.26722084860451245,0.2693936999957586,0.262632293566011,3.6049571519664134,5.0124187206672435,0.9017721572276796
0.08,0.20886246098177086,0.3354953296550458,0.015514002700711904,28.91876055213729,69.1380685884284,20.274857512226465,1.7698928523734252,3.118193021962939,1.4956191108549854,-3.349137462748264,-3.2631202217862514,-3.456693484068734,0.2337294739770298,0.23676249777789604,0.22806535872532363,3.075510418680113,4.471598788350781,0.4421802092583912
0.09,0.170065164393558,0.263256514213138,-0.021138656090913033,24.453835167969054,64.92898470879713,19.20963530149155,2.014431204053116,3.76748286905091,1.687715463869901,-2.7622395097464456,-2.7255707366502278,-2.805774269081084,0.20610707887956536,0.20950679041139375,0.20000761603451278,2.539306257612203,3.6866753056753288,-0.47604624398833517
0.1,0.14412333975622937,0.2048489242252285,-0.04542518243781313,21.18229361256751,61.19696838156265,19.092256587498724,2.2262541401787908,4.379452552866536,1.8786380297448884,-2.2772914643998345,-2.278930535017942,-2.2645985697950146,0.18333416423556703,0.18671748506121433,0.17736163033656263,2.156514393562642,2.967524016075065,-0.760510727380739
0.11,0.12179126106486748,0.14069039192956634,-0.07351949431787252,18.176886924657975,55.88601604912323,18.178747035822813,2.4080230094253707,4.938312713357768,2.0604255001031166,-1.8878071027655459,-1.9293113485434925,-1.8302615674079035,0.16445609320791157,0.1674243715757794,0.1590590146624836,1.818932302190073,2.089185534960019,-1.1245990617113235
0.12,0.10730362553262696,0.08947032148030143,-0.09684459587308725,15.913620520563441,51.03629590159659,17.361997328074292,2.567159214631005,5.448675672373734,2.2340454733838597,-1.5719219814829937,-1.6408569424405441,-1.4903945993058008,0.14873687339308164,0.15101580215137397,0.1441550686694256,1.593200264289136,1.3410334719594406,-1.4380758124227644
0.13,0.09812949704018692,0.04824990502430726,-0.11673714957601566,14.177317913169643,46.52785996601988,16.557900307055924,2.7089323937627015,5.913954272033933,2.399624476454419,-1.3168836883676993,-1.404338924017287,-1.2235587569801283,0.13556803650940466,0.1369724129112011,0.13191948109962431,1.4461426112269422,0.7493936772122318,-1.7077370632727131
0.14,0.09284440957788131,0.015395915776349689,-0.13354642018828278,12.853678141379394,42.36314830595086,15.782280842567237,2.8374691751764956,6.337585755093441,2.5574472848800913,-1.110631673278774,-1.2101540159530935,-1.013165924679061,0.12446171977661692,0.12487087275167016,0.12178782185283371,1.3573723009190066,0.3151016363409712,-1.9340471563184327
0.15,0.09031620213140013,-0.010975458260227278,-0.14779204929019496,11.848154306509333,38.22758829328517,15.024340865121827,2.955950718241589,6.719861638026293,2.7076906935313096,-0.943138123946488,-1.0285917187830478,-0.8460136702838472,0.11503033853715204,0.11458495556383969,0.11332768514999524,1.3101466149825038,-0.25044629898214266,-2.123208542008827
0.16,0.08972340787055089,-0.029599434142426162,-0.1598998040438646,11.085089798274879,34.60891810727652,14.261858962020582,3.0668016162243377,7.065950819099058,2.8503092831515153,-0.8062936990230899,-0.8600984872384141,-0.712046464538224,0.10696740154692114,0.10598397069145554,0.106207220504613,1.2922519875734704,-0.4684998234515138,-2.2813449919769546
0.17,0.09052852482409701,-0.0437069224476625,-0.16999919449304768,10.518943621643272,31.225022840111237,13.517492692525662,3.17199105244077,7.37820104750017,2.985484210076772,-0.6936370218772869,-0.7271964389914813,-0.6039073551476043,0.10003103132814826,0.09871200630154073,0.10016814695313696,1.2956841678986142,-0.6435842614371527,-2.4108985677107406
0.18,0.09229599765127094,-0.053938762197521584,-0.17827262357638807,10.108839581780007,28.05563450283555,12.800919857089069,3.2730794482585703,7.658757392528525,3.113493408647663,-0.6001851286249461,-0.6216090218946018,-0.5159781571061701,0.09402918004189881,0.0924959160825947,0.09500836538207526,1.313997274223279,-0.7741574654829317,-2.5151291196088983
0.19,0.09462144453041477,-0.06092775168631004,-0.1851000745190312,9.810841537994339,25.08264862602711,12.089874406415108,3.3711878636385135,7.909583878788796,3.234392152711814,-0.5221573173623363,-0.5370763950113874,-0.443790745375529,0.08880760686827545,0.08712515213248083,0.09057045792831997,1.341241370850917,-0.8639139748011762,-2.599756634506154
0.2,0.09728280173632609,-0.06501488453716053,-0.1905614646809215,9.597563294827621,22.313589731671087,11.39201107579683,3.4671634965867897,8.132719776105507,3.3483122634697824,-0.45653145517547344,-0.4691073300551055,-0.38420044231526196,0.08424229231652071,0.08243407883192977,0.08672845350516735,1.3740953247507923,-0.91524384250903,-2.666328477310919
